epoch,accuracy,loss,val_accuracy,val_loss
0,0.6593124598746157,0.9059356723182654,0.6870456897214589,0.7212837495619283
1,0.6996123487931245,0.6902345612789346,0.7296582314569823,0.5975348912356794
2,0.7239482163487956,0.6009456782134897,0.7044789012345682,0.5902734689123478
3,0.7410567839123477,0.5528347891234567,0.7540456789231457,0.5314234567891234
4,0.7562123456789123,0.5229456789213456,0.7348123456789234,0.5323123456789123
5,0.7731345678921345,0.4904345678921345,0.7732456789123456,0.4924345678921345
6,0.7901456789123456,0.4620345678921345,0.8122345678921346,0.4256345678921345
7,0.8085456789123456,0.4323456789123456,0.7801345678921345,0.4789345678921345
8,0.8213123456789123,0.4029345678921345,0.8295345678921345,0.3951345678921345
9,0.8388345678921345,0.3745345678921345,0.7750345678921345,0.4864345678921345
10,0.8527345678921345,0.3476345678921345,0.8135345678921345,0.4209345678921345
11,0.8652345678921345,0.3208345678921345,0.7577345678921344,0.5628345678921345
